"lat","lon","name","type","address"
53.017559,20.884523,"Millennium"," restaurant lodging food establishment","Leszno 4ab Przasnysz"
53.022924,20.88785,"Kubek Kebab"," restaurant food establishment","Osiedlowa 6 Przasnysz"
53.018989,20.8854,"Manhattan Pizza. Manhattan Chicken"," cafe bar restaurant food establishment","Józefa Piłsudskiego 2 Przasnysz"
53.024376,20.8875,"Słoneczna"," restaurant food establishment","Orlika 15 Przasnysz"
53.021431,20.88156,"Snack Bar"," meal_takeaway cafe restaurant food establishment","3 Maja 8 Przasnysz"
53.020916,20.882811,"Kawiarnia Ratuszowa"," store cafe restaurant food establishment","Rynek 1 Przasnysz"
53.021382,20.879779,"Parkowa"," restaurant food establishment","3 Maja 6 Przasnysz"
53.018786,20.8844,"Jasińska A. Mała gastronomia"," restaurant food establishment","06-300 Przasnysz; marsz. Piłsudskiego"
